offline_datapoint_10 1675676480 38,538
offline_datapoint_20 1675676482 3345637376,000
offline_datapoint_14 1675676482 1484,000
offline_datapoint_18 1675676480 0,000
offline_datapoint_16 1675676480 0,000
offline_datapoint_5 1675676480 30,310
offline_datapoint_21 1675676480 73,564
offline_datapoint_1 1675676480 42,810
offline_datapoint_8 1675676480 57,666
offline_datapoint_9 1675676482 0,000
offline_datapoint_12 1675676482 167,000
offline_datapoint_13 1675676480 2,086
offline_datapoint_4 1675676480 35,959
offline_datapoint_17 1675676480 38,045
offline_datapoint_6 1675676480 12,126
offline_datapoint_7 1675676480 74,642
offline_datapoint_15 1675676480 62,516
offline_datapoint_19 1675676480 0,002
offline_datapoint_3 1675676480 0,005
offline_datapoint_0 1675676480 0,380
offline_datapoint_2 1675676480 0,021
offline_datapoint_11 1675676480 0,360
offline_datapoint_10 1675676482 38,587
offline_datapoint_20 1675676484 3349929984,000
offline_datapoint_14 1675676484 1482,000
offline_datapoint_18 1675676482 332,791
offline_datapoint_16 1675676482 0,000
offline_datapoint_5 1675676482 3737,500
offline_datapoint_21 1675676483 218,692
offline_datapoint_1 1675676483 16,509
offline_datapoint_8 1675676483 0,000
offline_datapoint_9 1675676484 0,000
offline_datapoint_12 1675676484 168,000
offline_datapoint_13 1675676483 34,291
offline_datapoint_4 1675676483 172,492
offline_datapoint_17 1675676483 206,782
offline_datapoint_6 1675676483 25,703
offline_datapoint_7 1675676483 224,791
offline_datapoint_15 1675676483 199,089
offline_datapoint_19 1675676483 0,013
offline_datapoint_3 1675676483 0,009
offline_datapoint_0 1675676483 2,068
offline_datapoint_2 1675676483 0,343
offline_datapoint_11 1675676483 1,725
offline_datapoint_10 1675676486 38,676
offline_datapoint_20 1675676487 3357589504,000
offline_datapoint_14 1675676487 1477,000
offline_datapoint_18 1675676486 600,315
offline_datapoint_16 1675676486 0,000
offline_datapoint_5 1675676486 3085,654
offline_datapoint_21 1675676485 105,715
offline_datapoint_1 1675676485 29,172
offline_datapoint_8 1675676485 71,366
offline_datapoint_9 1675676487 0,000
offline_datapoint_12 1675676487 171,000
offline_datapoint_13 1675676485 32,538
offline_datapoint_4 1675676485 66,449
offline_datapoint_17 1675676485 98,986
offline_datapoint_6 1675676485 27,679
offline_datapoint_7 1675676485 117,387
offline_datapoint_15 1675676485 89,708
offline_datapoint_19 1675676485 0,012
offline_datapoint_3 1675676485 0,008
offline_datapoint_0 1675676485 0,990
offline_datapoint_2 1675676485 0,325
offline_datapoint_11 1675676485 0,664
offline_datapoint_10 1675676488 39,023
offline_datapoint_20 1675676490 3387711488,000
offline_datapoint_14 1675676490 1450,000
offline_datapoint_18 1675676488 468,549
offline_datapoint_16 1675676488 0,000
offline_datapoint_5 1675676488 8736,348
offline_datapoint_21 1675676488 19,028
offline_datapoint_1 1675676488 53,168
offline_datapoint_8 1675676488 0,000
offline_datapoint_9 1675676490 0,000
offline_datapoint_12 1675676490 173,000
offline_datapoint_13 1675676488 5,308
offline_datapoint_4 1675676488 22,415
offline_datapoint_17 1675676488 27,722
offline_datapoint_6 1675676488 21,365
offline_datapoint_7 1675676488 38,057
offline_datapoint_15 1675676488 16,691
offline_datapoint_19 1675676488 0,002
offline_datapoint_3 1675676488 0,007
offline_datapoint_0 1675676488 0,277
offline_datapoint_2 1675676488 0,053
offline_datapoint_11 1675676488 0,224
offline_datapoint_10 1675676491 39,652
offline_datapoint_20 1675676493 3442339840,000
offline_datapoint_14 1675676493 1406,000
offline_datapoint_18 1675676491 43,398
offline_datapoint_16 1675676491 0,000
offline_datapoint_5 1675676491 19000,229
offline_datapoint_21 1675676491 0,000
offline_datapoint_1 1675676491 2,115
offline_datapoint_8 1675676491 71,290
offline_datapoint_9 1675676493 0,000
offline_datapoint_12 1675676493 173,000
offline_datapoint_13 1675676491 0,491
offline_datapoint_4 1675676491 0,000
offline_datapoint_17 1675676491 0,491
offline_datapoint_6 1675676491 15,990
offline_datapoint_7 1675676491 15,990
offline_datapoint_15 1675676491 0,000
offline_datapoint_19 1675676491 0,000
offline_datapoint_3 1675676491 0,000
offline_datapoint_0 1675676491 0,005
offline_datapoint_2 1675676491 0,005
offline_datapoint_11 1675676491 0,000
offline_datapoint_10 1675676494 39,652
offline_datapoint_20 1675676496 3442323456,000
offline_datapoint_14 1675676496 1406,000
offline_datapoint_18 1675676494 0,000
offline_datapoint_16 1675676494 0,000
offline_datapoint_5 1675676494 99,607
offline_datapoint_21 1675676494 0,333
offline_datapoint_1 1675676494 7,881
offline_datapoint_8 1675676494 71,175
offline_datapoint_9 1675676496 0,000
offline_datapoint_12 1675676496 173,000
offline_datapoint_13 1675676494 0,314
offline_datapoint_4 1675676494 0,007
offline_datapoint_17 1675676494 0,322
offline_datapoint_6 1675676494 8,315
offline_datapoint_7 1675676494 8,647
offline_datapoint_15 1675676494 0,333
offline_datapoint_19 1675676494 0,000
offline_datapoint_3 1675676494 0,000
offline_datapoint_0 1675676494 0,003
offline_datapoint_2 1675676494 0,003
offline_datapoint_11 1675676494 0,000
offline_datapoint_10 1675676497 39,458
offline_datapoint_20 1675676499 3425488896,000
offline_datapoint_14 1675676499 1418,000
offline_datapoint_18 1675676497 0,333
offline_datapoint_16 1675676497 0,000
offline_datapoint_5 1675676497 2795,446
offline_datapoint_21 1675676497 0,000
offline_datapoint_1 1675676497 3,032
offline_datapoint_8 1675676497 0,000
offline_datapoint_9 1675676499 0,000
offline_datapoint_12 1675676499 173,000
offline_datapoint_13 1675676497 0,352
offline_datapoint_4 1675676497 0,000
offline_datapoint_17 1675676497 0,352
offline_datapoint_6 1675676497 9,997
offline_datapoint_7 1675676497 9,997
offline_datapoint_15 1675676497 0,000
offline_datapoint_19 1675676497 0,000
offline_datapoint_3 1675676497 0,000
offline_datapoint_0 1675676497 0,004
offline_datapoint_2 1675676497 0,004
offline_datapoint_11 1675676497 0,000
offline_datapoint_10 1675676500 39,428
offline_datapoint_20 1675676502 3422859264,000
offline_datapoint_14 1675676502 1413,000
offline_datapoint_18 1675676500 0,000
offline_datapoint_16 1675676500 0,000
offline_datapoint_5 1675676500 495,508
offline_datapoint_21 1675676500 1,667
offline_datapoint_1 1675676500 9,973
offline_datapoint_8 1675676500 71,369
offline_datapoint_9 1675676502 0,000
offline_datapoint_12 1675676502 173,000
offline_datapoint_13 1675676500 0,432
offline_datapoint_4 1675676500 2,155
offline_datapoint_17 1675676500 2,587
offline_datapoint_6 1675676500 10,005
offline_datapoint_7 1675676500 11,339
offline_datapoint_15 1675676500 1,334
offline_datapoint_19 1675676500 0,000
offline_datapoint_3 1675676500 0,002
offline_datapoint_0 1675676500 0,026
offline_datapoint_2 1675676500 0,004
offline_datapoint_11 1675676500 0,022
offline_datapoint_10 1675676503 39,448
offline_datapoint_20 1675676505 3424612352,000
offline_datapoint_14 1675676505 1413,000
offline_datapoint_18 1675676503 1,667
offline_datapoint_16 1675676503 0,000
offline_datapoint_5 1675676503 3249,610
offline_datapoint_21 1675676503 0,000
offline_datapoint_1 1675676503 9,328
offline_datapoint_8 1675676503 0,000
offline_datapoint_9 1675676505 0,000
offline_datapoint_12 1675676505 173,000
offline_datapoint_13 1675676503 0,230
offline_datapoint_4 1675676503 0,000
offline_datapoint_17 1675676503 0,230
offline_datapoint_6 1675676503 3,668
offline_datapoint_7 1675676503 3,668
offline_datapoint_15 1675676503 0,000
offline_datapoint_19 1675676503 0,001
offline_datapoint_3 1675676503 0,001
offline_datapoint_0 1675676503 0,002
offline_datapoint_2 1675676503 0,002
offline_datapoint_11 1675676503 0,000
offline_datapoint_10 1675676506 39,466
offline_datapoint_20 1675676508 3426172928,000
offline_datapoint_14 1675676508 1415,000
offline_datapoint_18 1675676506 0,000
offline_datapoint_16 1675676506 0,000
offline_datapoint_5 1675676506 3189,719
offline_datapoint_21 1675676506 0,000
offline_datapoint_1 1675676506 1,731
offline_datapoint_8 1675676506 71,311
offline_datapoint_9 1675676508 0,000
offline_datapoint_12 1675676508 173,000
offline_datapoint_13 1675676506 0,296
offline_datapoint_4 1675676506 0,013
offline_datapoint_17 1675676506 0,310
offline_datapoint_6 1675676506 4,998
offline_datapoint_7 1675676506 5,332
offline_datapoint_15 1675676506 0,333
offline_datapoint_19 1675676506 0,001
offline_datapoint_3 1675676506 0,001
offline_datapoint_0 1675676506 0,003
offline_datapoint_2 1675676506 0,003
offline_datapoint_11 1675676506 0,000
offline_datapoint_10 1675676509 39,460
offline_datapoint_20 1675676511 3425660928,000
offline_datapoint_14 1675676511 1412,000
offline_datapoint_18 1675676509 0,000
offline_datapoint_16 1675676509 0,000
offline_datapoint_5 1675676509 255,585
offline_datapoint_21 1675676509 0,000
offline_datapoint_1 1675676509 8,045
offline_datapoint_8 1675676509 71,454
offline_datapoint_9 1675676511 0,000
offline_datapoint_12 1675676511 173,000
offline_datapoint_13 1675676509 0,225
offline_datapoint_4 1675676509 0,000
offline_datapoint_17 1675676509 0,225
offline_datapoint_6 1675676509 2,671
offline_datapoint_7 1675676509 2,671
offline_datapoint_15 1675676509 0,000
offline_datapoint_19 1675676509 0,001
offline_datapoint_3 1675676509 0,001
offline_datapoint_0 1675676509 0,002
offline_datapoint_2 1675676509 0,002
offline_datapoint_11 1675676509 0,000
offline_datapoint_10 1675676512 39,470
offline_datapoint_20 1675676514 3426508800,000
offline_datapoint_14 1675676514 1412,000
offline_datapoint_18 1675676512 0,000
offline_datapoint_16 1675676512 0,000
offline_datapoint_5 1675676512 2257,138
offline_datapoint_21 1675676512 0,000
offline_datapoint_1 1675676512 0,807
offline_datapoint_8 1675676512 0,000
offline_datapoint_9 1675676514 0,000
offline_datapoint_12 1675676514 173,000
offline_datapoint_13 1675676512 0,071
offline_datapoint_4 1675676512 0,000
offline_datapoint_17 1675676512 0,071
offline_datapoint_6 1675676512 1,000
offline_datapoint_7 1675676512 1,000
offline_datapoint_15 1675676512 0,000
offline_datapoint_19 1675676512 0,001
offline_datapoint_3 1675676512 0,001
offline_datapoint_0 1675676512 0,001
offline_datapoint_2 1675676512 0,001
offline_datapoint_11 1675676512 0,000
offline_datapoint_10 1675676515 39,470
offline_datapoint_20 1675676517 3426508800,000
offline_datapoint_14 1675676517 1416,000
offline_datapoint_18 1675676515 0,000
offline_datapoint_16 1675676515 0,000
offline_datapoint_5 1675676515 97,312
offline_datapoint_21 1675676515 0,334
offline_datapoint_1 1675676515 8,758
offline_datapoint_8 1675676515 71,392
offline_datapoint_9 1675676517 0,000
offline_datapoint_12 1675676517 173,000
offline_datapoint_13 1675676515 0,286
offline_datapoint_4 1675676515 0,048
offline_datapoint_17 1675676515 0,334
offline_datapoint_6 1675676515 4,671
offline_datapoint_7 1675676515 5,004
offline_datapoint_15 1675676515 0,334
offline_datapoint_19 1675676515 0,001
offline_datapoint_3 1675676515 0,001
offline_datapoint_0 1675676515 0,003
offline_datapoint_2 1675676515 0,003
offline_datapoint_11 1675676515 0,000
offline_datapoint_10 1675676518 39,472
offline_datapoint_20 1675676520 3426721792,000
offline_datapoint_14 1675676520 1416,000
offline_datapoint_18 1675676518 0,334
offline_datapoint_16 1675676518 0,000
offline_datapoint_5 1675676518 2172,117
offline_datapoint_21 1675676518 0,000
offline_datapoint_1 1675676518 14,584
offline_datapoint_8 1675676518 1750,044
offline_datapoint_9 1675676520 0,000
offline_datapoint_12 1675676520 174,000
offline_datapoint_13 1675676518 0,154
offline_datapoint_4 1675676518 0,000
offline_datapoint_17 1675676518 0,154
offline_datapoint_6 1675676518 2,657
offline_datapoint_7 1675676518 2,657
offline_datapoint_15 1675676518 0,000
offline_datapoint_19 1675676518 0,001
offline_datapoint_3 1675676518 0,001
offline_datapoint_0 1675676518 0,002
offline_datapoint_2 1675676518 0,002
offline_datapoint_11 1675676518 0,000
offline_datapoint_10 1675676521 39,504
offline_datapoint_20 1675676523 3429502976,000
offline_datapoint_14 1675676523 1414,000
offline_datapoint_18 1675676521 0,000
offline_datapoint_16 1675676521 0,000
offline_datapoint_5 1675676521 5236,184
offline_datapoint_21 1675676521 0,335
offline_datapoint_1 1675676521 3,830
offline_datapoint_8 1675676521 71,629
offline_datapoint_9 1675676523 0,000
offline_datapoint_12 1675676523 173,000
offline_datapoint_13 1675676521 0,254
offline_datapoint_4 1675676521 0,000
offline_datapoint_17 1675676521 0,254
offline_datapoint_6 1675676521 3,012
offline_datapoint_7 1675676521 3,012
offline_datapoint_15 1675676521 0,000
offline_datapoint_19 1675676521 0,001
offline_datapoint_3 1675676521 0,001
offline_datapoint_0 1675676521 0,003
offline_datapoint_2 1675676521 0,003
offline_datapoint_11 1675676521 0,000
offline_datapoint_10 1675676524 39,495
offline_datapoint_20 1675676526 3428687872,000
offline_datapoint_14 1675676526 1410,000
offline_datapoint_18 1675676524 2,678
offline_datapoint_16 1675676524 0,000
offline_datapoint_5 1675676524 1810,819
offline_datapoint_21 1675676524 0,000
offline_datapoint_1 1675676524 14,162
offline_datapoint_8 1675676524 71,042
offline_datapoint_9 1675676526 0,000
offline_datapoint_12 1675676526 173,000
offline_datapoint_13 1675676524 0,128
offline_datapoint_4 1675676524 0,000
offline_datapoint_17 1675676524 0,128
offline_datapoint_6 1675676524 2,324
offline_datapoint_7 1675676524 2,324
offline_datapoint_15 1675676524 0,000
offline_datapoint_19 1675676524 0,001
offline_datapoint_3 1675676524 0,001
offline_datapoint_0 1675676524 0,001
offline_datapoint_2 1675676524 0,001
offline_datapoint_11 1675676524 0,000
offline_datapoint_10 1675676527 39,502
offline_datapoint_20 1675676529 3429339136,000
offline_datapoint_14 1675676529 1414,000
offline_datapoint_18 1675676527 0,000
offline_datapoint_16 1675676527 0,000
offline_datapoint_5 1675676527 4534,757
offline_datapoint_21 1675676527 0,000
offline_datapoint_1 1675676527 1,977
offline_datapoint_8 1675676527 53,988
offline_datapoint_9 1675676529 0,000
offline_datapoint_12 1675676529 173,000
offline_datapoint_13 1675676527 0,554
offline_datapoint_4 1675676527 0,000
