172 1675676494 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676495 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676496 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676497 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676498 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676499 1,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676500 1,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676501 1,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676499 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676500 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676501 0,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676502 1,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676503 1,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676504 1,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676505 1,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676506 1,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676502 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676503 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676504 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676505 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676506 0,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676507 1,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676508 1,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676509 1,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676510 1,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676511 1,000000 -1,000000 -101,000000 0,000000 0,000000
183 1675676507 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676508 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676509 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676510 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676511 0,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676512 1,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676513 1,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676514 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676515 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676516 0,800000 -1,000000 -101,000000 0,000000 0,000000
183 1675676512 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676513 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676514 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676515 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676516 0,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676517 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676518 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676519 2,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676520 2,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676521 2,000000 -1,000000 -101,000000 0,000000 0,000000
183 1675676517 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676518 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676519 0,600000 -1,000000 -101,000000 0,000000 0,000000
183 1675676520 0,600000 -1,000000 -101,000000 0,000000 0,000000
183 1675676521 0,600000 -1,000000 -101,000000 0,000000 0,000000
172 1675676522 2,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676523 2,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676524 2,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676525 2,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676526 2,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676522 0,600000 -1,000000 -101,000000 0,000000 0,000000
183 1675676523 0,600000 -1,000000 -101,000000 0,000000 0,000000
183 1675676524 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676525 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676526 0,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676527 2,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676528 2,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676529 1,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676530 1,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676531 1,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676527 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676528 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676529 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676530 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676531 0,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676532 1,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676533 1,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676534 1,600000 -1,000000 -101,000000 0,000000 0,000000
172 1675676535 1,600000 -1,000000 -101,000000 0,000000 0,000000
172 1675676536 1,600000 -1,000000 -101,000000 0,000000 0,000000
183 1675676532 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676533 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676534 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676535 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676536 0,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676537 1,600000 -1,000000 -101,000000 0,000000 0,000000
172 1675676538 1,600000 -1,000000 -101,000000 0,000000 0,000000
172 1675676539 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676540 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676541 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676542 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676543 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676544 1,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676545 1,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676546 1,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676537 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676538 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676544 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676545 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676546 0,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676547 1,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676548 1,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676549 1,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676550 1,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676551 1,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676552 1,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676553 1,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676554 1,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676555 1,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676556 1,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676557 1,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676558 1,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676559 3,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676560 3,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676561 3,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676547 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676548 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676549 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676550 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676551 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676552 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676553 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676554 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676555 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676556 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676557 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676558 0,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676559 1,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676560 1,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676561 1,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676562 3,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676563 3,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676564 2,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676565 2,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676566 2,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676562 1,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676563 1,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676564 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676565 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676566 0,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676567 2,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676568 2,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676569 1,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676570 1,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676571 1,200000 -1,000000 -101,000000 0,000000 0,000000
183 1675676567 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676568 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676569 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676570 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676571 0,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676572 1,200000 -1,000000 -101,000000 0,000000 0,000000
172 1675676573 1,200000 -1,000000 -101,000000 0,000000 0,000000
