offline_datapoint_4 1675561019 68,232
offline_datapoint_5 1675561021 7604195328,000
offline_datapoint_22 1675561021 1075,000
offline_datapoint_3 1675561019 107,312
offline_datapoint_1 1675561019 0,000
offline_datapoint_11 1675561019 2195,899
offline_datapoint_6 1675561019 67,934
offline_datapoint_19 1675561019 7,341
offline_datapoint_17 1675561019 47,163
offline_datapoint_7 1675561019 2448,289
offline_datapoint_16 1675561021 0,000
offline_datapoint_20 1675561021 231,000
offline_datapoint_10 1675561019 6,849
offline_datapoint_2 1675561019 129,433
offline_datapoint_15 1675561019 136,282
offline_datapoint_8 1675561019 18,649
offline_datapoint_14 1675561019 72,263
offline_datapoint_18 1675561019 53,615
offline_datapoint_12 1675561019 0,004
offline_datapoint_9 1675561019 0,019
offline_datapoint_21 1675561019 1,363
offline_datapoint_13 1675561019 0,068
offline_datapoint_0 1675561019 1,294
offline_datapoint_4 1675561022 68,341
offline_datapoint_5 1675561025 7616335872,000
offline_datapoint_22 1675561025 1059,000
offline_datapoint_3 1675561023 465,548
offline_datapoint_1 1675561023 0,000
offline_datapoint_11 1675561023 7194,014
offline_datapoint_6 1675561023 83,078
offline_datapoint_19 1675561023 3,550
offline_datapoint_17 1675561023 20,790
offline_datapoint_7 1675561023 270,878
offline_datapoint_16 1675561025 0,000
offline_datapoint_20 1675561025 231,000
offline_datapoint_10 1675561023 21,596
offline_datapoint_2 1675561023 96,325
offline_datapoint_15 1675561023 117,921
offline_datapoint_8 1675561023 29,602
offline_datapoint_14 1675561023 112,680
offline_datapoint_18 1675561023 83,078
offline_datapoint_12 1675561023 0,007
offline_datapoint_9 1675561023 0,010
offline_datapoint_21 1675561023 1,179
offline_datapoint_13 1675561023 0,216
offline_datapoint_0 1675561023 0,963
offline_datapoint_4 1675561025 68,348
offline_datapoint_5 1675561027 7617142784,000
offline_datapoint_22 1675561027 1050,000
offline_datapoint_3 1675561025 473,320
offline_datapoint_1 1675561025 0,000
offline_datapoint_11 1675561025 2072,804
offline_datapoint_6 1675561026 2,094
offline_datapoint_19 1675561026 3,003
offline_datapoint_17 1675561026 16,144
offline_datapoint_7 1675561026 188,475
offline_datapoint_16 1675561027 0,000
offline_datapoint_20 1675561027 231,000
offline_datapoint_10 1675561026 0,087
offline_datapoint_2 1675561026 13,534
offline_datapoint_15 1675561026 13,621
offline_datapoint_8 1675561026 0,698
offline_datapoint_14 1675561026 2,443
offline_datapoint_18 1675561026 1,745
offline_datapoint_12 1675561026 0,001
offline_datapoint_9 1675561026 0,056
offline_datapoint_21 1675561026 0,136
offline_datapoint_13 1675561026 0,001
offline_datapoint_0 1675561026 0,135
offline_datapoint_4 1675561029 68,293
offline_datapoint_5 1675561030 7610933248,000
offline_datapoint_22 1675561030 1052,000
offline_datapoint_3 1675561029 18,149
offline_datapoint_1 1675561029 0,000
offline_datapoint_11 1675561029 337,859
offline_datapoint_6 1675561028 22,741
offline_datapoint_19 1675561028 6,916
offline_datapoint_17 1675561028 23,347
offline_datapoint_7 1675561028 71,567
offline_datapoint_16 1675561030 0,000
offline_datapoint_20 1675561030 231,000
offline_datapoint_10 1675561028 1,481
offline_datapoint_2 1675561028 15,875
offline_datapoint_15 1675561028 17,356
offline_datapoint_8 1675561028 5,016
offline_datapoint_14 1675561028 27,757
offline_datapoint_18 1675561028 22,741
offline_datapoint_12 1675561028 0,003
offline_datapoint_9 1675561028 0,006
offline_datapoint_21 1675561028 0,174
offline_datapoint_13 1675561028 0,015
offline_datapoint_0 1675561028 0,159
offline_datapoint_4 1675561031 68,305
offline_datapoint_5 1675561033 7612276736,000
offline_datapoint_22 1675561033 1052,000
offline_datapoint_3 1675561031 87,954
offline_datapoint_1 1675561031 0,000
offline_datapoint_11 1675561031 4124,823
offline_datapoint_6 1675561031 0,000
offline_datapoint_19 1675561031 0,120
offline_datapoint_17 1675561031 3,132
offline_datapoint_7 1675561031 215,319
offline_datapoint_16 1675561033 0,000
offline_datapoint_20 1675561033 231,000
offline_datapoint_10 1675561031 0,339
offline_datapoint_2 1675561031 0,013
offline_datapoint_15 1675561031 0,352
offline_datapoint_8 1675561031 7,666
offline_datapoint_14 1675561031 7,999
offline_datapoint_18 1675561031 0,333
offline_datapoint_12 1675561031 0,000
offline_datapoint_9 1675561031 0,000
offline_datapoint_21 1675561031 0,004
offline_datapoint_13 1675561031 0,003
offline_datapoint_0 1675561031 0,000
offline_datapoint_4 1675561034 68,300
offline_datapoint_5 1675561036 7611772928,000
offline_datapoint_22 1675561036 1052,000
offline_datapoint_3 1675561034 0,000
offline_datapoint_1 1675561034 0,000
offline_datapoint_11 1675561034 111,659
offline_datapoint_6 1675561034 8,642
offline_datapoint_19 1675561034 2,230
offline_datapoint_17 1675561034 8,527
offline_datapoint_7 1675561034 47,199
offline_datapoint_16 1675561036 0,000
offline_datapoint_20 1675561036 231,000
offline_datapoint_10 1675561034 0,426
offline_datapoint_2 1675561034 2,437
offline_datapoint_15 1675561034 2,862
offline_datapoint_8 1675561034 5,318
offline_datapoint_14 1675561034 13,296
offline_datapoint_18 1675561034 7,977
offline_datapoint_12 1675561034 0,001
offline_datapoint_9 1675561034 0,002
offline_datapoint_21 1675561034 0,029
offline_datapoint_13 1675561034 0,004
offline_datapoint_0 1675561034 0,024
offline_datapoint_4 1675561037 68,321
offline_datapoint_5 1675561039 7614083072,000
offline_datapoint_22 1675561039 1052,000
offline_datapoint_3 1675561037 22,270
offline_datapoint_1 1675561037 0,000
offline_datapoint_11 1675561037 2810,669
offline_datapoint_6 1675561037 1,002
offline_datapoint_19 1675561037 0,977
offline_datapoint_17 1675561037 6,270
offline_datapoint_7 1675561037 136,997
offline_datapoint_16 1675561039 0,000
offline_datapoint_20 1675561039 231,000
offline_datapoint_10 1675561037 0,062
offline_datapoint_2 1675561037 2,038
offline_datapoint_15 1675561037 2,100
offline_datapoint_8 1675561037 0,668
offline_datapoint_14 1675561037 1,671
offline_datapoint_18 1675561037 1,002
offline_datapoint_12 1675561037 0,001
offline_datapoint_9 1675561037 0,013
offline_datapoint_21 1675561037 0,021
offline_datapoint_13 1675561037 0,001
offline_datapoint_0 1675561037 0,020
offline_datapoint_4 1675561040 68,329
offline_datapoint_5 1675561042 7615004672,000
offline_datapoint_22 1675561042 1050,000
offline_datapoint_3 1675561040 12,029
offline_datapoint_1 1675561040 0,000
offline_datapoint_11 1675561040 713,388
offline_datapoint_6 1675561040 6,007
offline_datapoint_19 1675561040 0,000
offline_datapoint_17 1675561040 3,701
offline_datapoint_7 1675561040 0,000
offline_datapoint_16 1675561042 0,000
offline_datapoint_20 1675561042 231,000
offline_datapoint_10 1675561040 0,176
offline_datapoint_2 1675561040 4,240
offline_datapoint_15 1675561040 4,415
offline_datapoint_8 1675561040 1,335
offline_datapoint_14 1675561040 7,342
offline_datapoint_18 1675561040 6,007
offline_datapoint_12 1675561040 0,001
offline_datapoint_9 1675561040 0,006
